Carimbo de data/hora	Qual sua idade?	Frequenta a sede do CEG com que frequência?	Se não frequenta, qual o motivo?	Há quantos anos ingressou no clube?	Você fez CBM	Dentro do montanhismo com o que você mais se identifica?	Quanto à ESCALADA, você:	Quanto à CAMINHADA, você:	Qual o grau de conhecimento técnico que você tem no momento?	Quantas vezes você escala por mês, em média?	Quantas vezes você pratica caminhada em montanha por mês, em média?	Diga um motivo para você escolher o CEG como seu clube preferencial, caso isso seja verdade.
11/08/2023 20:16:39	43	Menos de 1 vez por mês	Moro longe, Trabalho, Preguiça	Entre 10 e 20 anos	No CEG	Escalada urbana	Guia de forma independente	Guia de forma independente	Curso avançado de escalada ou caminhada	6	2	É O CLUBE DO MEU CORAÇÃO
11/08/2023 20:28:01	55	Duas vezes ou mais por mês	Moro longe, Trabalho	Entre 2 e 5 anos	Em outro clube	Trilhas moderadas	Só participa	Só participa	Curso básico de escalada	1	2	Foi o clube que me acolheu, depois de sair do antigo de forma traumática, no CEG recebi afeto,  fiz amizades verdadeiras, me senti integrada novamente num grupo alegre, festivo, cachaceiro 😄e  cheio de causos. Meu estímulo é saber  que depois de uma crise bem chata, as pessoas se uniram e estão reescrevendo uma nova história, assim como eu estou fazendo. Espero viver muitas aventuras com meu novo clubinho do 💙💚
11/08/2023 20:42:45	49	Duas vezes ou mais por mês	Eu frequento 	Entre 10 e 20 anos	No CEG	Trilhas moderadas	Não escala	Guia com apoio de pessoas mais experientes	Curso básico de montanhismo	0	1	Companheirismo, identificação com as pessoas e a sede
11/08/2023 20:47:45	46	Uma vez por mês	Trabalho	< 2 anos	Não fiz CBM	Trilhas moderadas	Não escala	Só participa	Sou sem noção	0	1	Clint muito receptivo. Ambiente bom.
12/08/2023 05:38:38	48	Menos de 1 vez por mês	Compromissos no mesmo horário	< 2 anos	Não fiz CBM	Escaladas urbanas e na em áreas remotas 	Guia de forma independente	Só participa	Curso avançado de escalada ou caminhada	15	2	Pelas pessoas 
12/08/2023 08:57:29	43	Duas vezes ou mais por mês	Tem q arrumar esse item do questionário pra não ser obrigatório caso o respondente marque algo diferente de "não frequento..."	Entre 10 e 20 anos	No CEG	Trilhas pesadas	Guia de forma independente	Guia de forma independente	Guia certificado	1	2	Clube de clima alegre/festivo mas comprometido com o montanhismo ético e de qualidade.
12/08/2023 16:26:33	34	Uma vez por mês	Trabalho	Entre 2 e 5 anos	No CEG	Escalada urbana	Guia com apoio de pessoas mais experientes	Só participa	Curso básico de montanhismo	7	0	Não tenho motivo especial 
12/08/2023 17:24:59	42	Menos de 1 vez por mês	Filha pequena: coincide com a hora da janta, banho e cama. Ela fica estressada e sem mais crianças vai criar aversão ao clube se forçar 	Entre 5 e 10 anos	No CEG	Trilhas pesadas	Guia de forma independente	Guia de forma independente	Curso avançado de escalada ou caminhada	0	1	Povo festeiro e engajado. A primeira escolha foi por conta do CBM mais organizado para participar 
13/08/2023 12:48:25	35	Menos de 1 vez por mês	Rotina das crianças 	Entre 2 e 5 anos	No CEG	Escalada urbana	Guia de forma independente	Guia de forma independente	Curso básico de montanhismo	8	4	Gosto das pessoas 
13/08/2023 12:50:52	35	Menos de 1 vez por mês	Rotina com as crianças 	Entre 2 e 5 anos	No CEG	Escalada urbana	Guia de forma independente	Guia de forma independente	Curso básico de montanhismo	8	0	Amo o Leleco 
14/08/2023 16:48:08	45	Duas vezes ou mais por mês		Entre 5 e 10 anos	No CEG	Escalada urbana	Guia de forma independente	Guia com apoio de pessoas mais experientes	Curso avançado de escalada ou caminhada	4	1	no início, ser perto de casa. hj, as pessoas 
14/08/2023 17:03:45	52	Uma vez por mês	Compromissos no mesmo horário	Entre 10 e 20 anos	No CEG	Trilhas pesadas	Só participa	Só participa	Curso básico de montanhismo	1	3	Adoro as pessoas maa gostaria de ter mais opcao de caminhada e de ser chamada p escalar .penso em acrescentar mais um clube   
14/08/2023 17:13:28	50	Não frequento há mais de 6 meses	Trabalho	Entre 5 e 10 anos	No CEG	Escalada urbana	Só participa	Só participa	Curso básico de escalada	1	1	Amigos
14/08/2023 17:18:53	57	Vou às vezes		> 20 anos	No CEG	Trilhas leves	Não escala	Só participa	Técnico em que? Caminhada ou escalada?	0	0	O espírito CEG de ser. O CEG é um clube diferenciado. 
14/08/2023 17:33:07	56	Não frequento há mais de 6 meses	Atualmente fora do pais	Entre 10 e 20 anos	No CEG	Trilhas pesadas	Só participa	Só participa	Sou sem noção	0	5	Amizades ;)
14/08/2023 17:37:00	45	Menos de 1 vez por mês	Moro longe, Trabalho, Compromissos no mesmo horário	< 2 anos	No CEG	Escalada e trilhas 	Guia com apoio de pessoas mais experientes	Só participa	Curso básico de montanhismo	8	2	Fazer atividades legais com pessoas legais
14/08/2023 17:38:27	44	Uma vez por mês	Trabalho	Entre 2 e 5 anos	Não fiz CBM	Trilhas moderadas	Só participa	Só participa	Fiz um CBM em 2012 no CEC, só não fiz prova e escrita e o acampamento para concluir o curso. E em 2020 iniciei o CBM no CEG, mas não o conclui.	0	1	
14/08/2023 17:40:51	55	Duas vezes ou mais por mês		Entre 10 e 20 anos	No CEG	Trilhas pesadas	Guia de forma independente	Guia de forma independente	Curso avançado de escalada ou caminhada	6	3	Amigos
14/08/2023 17:41:19	47	Não frequento há mais de 6 meses	Preguiça	Entre 5 e 10 anos	No CEG	Trilhas moderadas	Não escala	Só participa	Curso básico de montanhismo	0	0	As melhores pessoas
14/08/2023 17:52:28	65	Menos de 1 vez por mês	Moro longe	> 20 anos	Em outro clube	Escalada urbana e remotas 	Guia de forma independente	Guia de forma independente	Curso avançado de escalada ou caminhada	2	4	Sou veterano do CEG 
14/08/2023 17:56:08	51	Duas vezes ou mais por mês		Entre 2 e 5 anos	No CEG	Trilhas pesadas	Guia com apoio de pessoas mais experientes	Guia de forma independente	Curso básico de montanhismo	5	12	O clube não tem me motivado ultimamente, mas sigo frequentando. 
14/08/2023 18:03:48	43	Uma vez por mês		Entre 10 e 20 anos	No CEG	Escalada urbana	Só participa	Só participa	Curso básico de montanhismo	0	0	Gosto das pessoas que frequentam o clube, gosto de encontrá-las nas reuniões sociais.
14/08/2023 19:44:46	56	Duas vezes ou mais por mês		< 2 anos	Em outro clube	Trilhas moderadas	Não escala	Só participa	Curso básico de escalada	0	1	O acolhimento das pessoas do CEG
14/08/2023 22:24:44	31	Duas vezes ou mais por mês		< 2 anos	No CEG	Escalada urbana	Guia de forma independente	Só participa	Curso básico de montanhismo	5	1	Me identifico muito com essa energia festeira dos integrantes do CEG
15/08/2023 08:14:04	67	Duas vezes ou mais por mês		> 20 anos	No CEG	Trilhas moderadas	Só participa	Só participa	Curso básico de montanhismo	0	0	As pessoas e o ambiente descontraído e leve
15/08/2023 11:37:17	75	Duas vezes ou mais por mês	Compromissos no mesmo horário	> 20 anos	Em outro clube	Trilhas moderadas	Não escala	Só participa	Curso básico de montanhismo	0	2	As pessoas  , a receptividade ,as brincadeiras e o espaço físico do Clube.
15/08/2023 17:44:10	54	Fui apenas 2 vezes	Questões pessoais e familiares	< 2 anos	Não fiz CBM	Trilhas moderadas	Não escala	Só participa	Sou sem noção	0	1	Indicação
15/08/2023 22:24:39	38	Não frequento há mais de 6 meses	Preguiça	Entre 10 e 20 anos	No CEG	Escalada urbana	Só participa	Só participa	Curso básico de montanhismo	3	3	Família 💚
17/08/2023 17:10:51	80	Duas vezes ou mais por mês	Moro longe	Entre 10 e 20 anos	No CEG	Trilhas pesadas	Não escala	Só participa	Curso básico de montanhismo	0	2	Amigos
